PMID,Title,Abstract,Sentence,Common Words in Vocabulary 1
31690802,bisphenol s and bisphenol a disrupt morphogenesis of mcf12a human mammary epithelial cells,breast cancer is one of the most common cancers diagnosed in women worldwide genetic predisposition such as breast cancer 1 brca1 mutations account for a minor percentage of the total breast cancer incidences and thus many life style factors have also been linked to the disease such as smoking alcohol consumption and obesity emerging studies show that environmental pollutants may also play a role bisphenola bpa has been suspected to contribute to breast cancer development and has been shown to affect mammary gland development amongst other effects this prompted its replacement with other bisphenol analogs such as bisphenols bps in this study we used the human mammary epithelial cells mcf12a grown in extracellular matrix to investigate the ability of bpa and bps to disrupt mammary epithelial cells organization we show that both bpa and bps were equipotent in disrupting the organization of the acinar structures despite bps being less oestrogenic by other assays further treatment with both compounds enabled the cells to invade the lumen of the structures this study shows that bps and bpa are environmental pollutants that may affect mammary development and may contribute to the development of breast cancer,breast cancer is one of the most common cancers diagnosed in women worldwide genetic predisposition such as breast cancer 1 brca1 mutations account for a minor percentage of the total breast cancer incidences and thus many life style factors have also been linked to the disease such as smoking alcohol consumption and obesity emerging studies show that environmental pollutants may also play a role bisphenola bpa has been suspected to contribute to breast cancer development and has been shown to affect mammary gland development amongst other effects this prompted its replacement with other bisphenol analogs such as bisphenols bps in this study we used the human mammary epithelial cells mcf12a grown in extracellular matrix to investigate the ability of bpa and bps to disrupt mammary epithelial cells organization we show that both bpa and bps were equipotent in disrupting the organization of the acinar structures despite bps being less oestrogenic by other assays further treatment with both compounds enabled the cells to invade the lumen of the structures this study shows that bps and bpa are environmental pollutants that may affect mammary development and may contribute to the development of breast cancer,"affect(ACTIVITY), disrupt(ACTIVITY), affect(ACTIVITY)"
31658598,effects of dietary bisphenol a on the reproductive function of gilthead sea bream sparus aurata testes,bisphenol a bpa a known endocrine disrupting chemical edc was administered by diet to gilthead sea bream sparus aurata in order to study its effects on the endocannabinoid system ecs and gonadal steroidogenesis 2yearold male gilthead sea bream were fed with two different concentrations of bpa low at 4 and high at 4000 µgkg body weight for 21 days during the reproductive season exposure to 4000 µg bpakg bwday bpa high reduced sperm motility and altered the straightline velocity vsl and linearity lin effects on steroidogenesis were evident with testosterone t being upregulated by both treatments and 11ketotestosterone 11kt downregulated by bpa high plasma levels of 17βestradiol e2 were not affected the gonadosomatic index gsi increased in the bpa high group interestingly the levels of endocannabinoids and endocannabinoidlike compounds were significantly reduced after both treatments unpredictably a few changes were noticed in the expression of genes coding for ecs enzymes while the receptors were upregulated depending on the bpa dose reproductive markers in testis leptin receptor lepr estrogen receptors era erb progesterone receptors pr and the gonadotropin releasing hormone receptor gnrhr were upregulated bpa induced the upregulation of the hepatic genes involved in oogenesis vitellogenin vtg and zona pellucida 1 zp1,bisphenol a bpa a known endocrine disrupting chemical edc was administered by diet to gilthead sea bream sparus aurata in order to study its effects on the endocannabinoid system ecs and gonadal steroidogenesis 2yearold male gilthead sea bream were fed with two different concentrations of bpa low at 4 and high at 4000 µgkg body weight for 21 days during the reproductive season exposure to 4000 µg bpakg bwday bpa high reduced sperm motility and altered the straightline velocity vsl and linearity lin effects on steroidogenesis were evident with testosterone t being upregulated by both treatments and 11ketotestosterone 11kt downregulated by bpa high plasma levels of 17βestradiol e2 were not affected the gonadosomatic index gsi increased in the bpa high group interestingly the levels of endocannabinoids and endocannabinoidlike compounds were significantly reduced after both treatments unpredictably a few changes were noticed in the expression of genes coding for ecs enzymes while the receptors were upregulated depending on the bpa dose reproductive markers in testis leptin receptor lepr estrogen receptors era erb progesterone receptors pr and the gonadotropin releasing hormone receptor gnrhr were upregulated bpa induced the upregulation of the hepatic genes involved in oogenesis vitellogenin vtg and zona pellucida 1 zp1,"reduced(ACTIVITY), altered(ACTIVITY), affected(ACTIVITY), increased(ACTIVITY), reduced(ACTIVITY), induced(ACTIVITY)"
31652106,environmentally relevant perinatal exposures to bisphenol a disrupt postnatal kiss1nkb neuronal maturation and puberty onset in female mice,the timing of puberty is highly sensitive to environmental factors including endocrine disruptors among them bisphenol a bpa has been previously analyzed as potential modifier of puberty yet disparate results have been reported with bpa advancing delaying or being neutral in its effects on puberty onset likewise mechanistic analyses addressing the central and peripheral actionstargets of bpa at puberty remain incomplete and conflictive we aimed to provide a comprehensive characterization of the impact of early bpa exposures especially at low reallife doses on the postnatal development of hypothalamic kiss1nkb neurons and its functional consequences on female pubertal maturation pregnant cd1 female mice were orally administered bpa at 5 10 or 40μgkg body weight bwd from gestational day 11 to postnatal day 8 pnd8 vaginal opening as an external marker of puberty onset was monitored daily from pnd19 to pnd30 in the female offspring blood and brain samples were collected at pnd12 15 18 21 and 30 for measuring circulating levels of gonadotropins and analyzing the hypothalamic expression of kiss1kisspeptin and nkb perinatal exposure to bpa in a range of doses largely below the no observed adverse effect level noael 5mgkg bwd according to the fda was associated with pubertal differences in the female progeny compared with those exposed to vehicle alone with an earlier age of vaginal opening but consistently lower levels of circulating luteinizing hormone mice treated with bpa exhibited a persistent but divergent impairment of kiss1 neuronal maturation with more kisspeptin cells in the rostral rp3v hypothalamus but consistently fewer kisspeptin neurons in the arcuate nucleus arc detailed quantitative analysis of the arc population essential for pubertal development revealed that mice treated with bpa had persistently lower kiss1 expression during prepubertal maturation which was associated with lower tac2 encoding nkb levels even at low doses 5μgkg bwd in the range of the tolerable daily intake tdi recently updated by the european food safety authority our data attest to the consistent but divergent effects of gestational exposures to low concentrations of bpa via the oral route on phenotypic and neuroendocrine markers of puberty in female mice with an unambiguous impact on the developmental maturation not only of kiss1 but also of the nkb system both essential regulators of puberty onset httpsdoiorg101289ehp5570,the timing of puberty is highly sensitive to environmental factors including endocrine disruptors among them bisphenol a bpa has been previously analyzed as potential modifier of puberty yet disparate results have been reported with bpa advancing delaying or being neutral in its effects on puberty onset likewise mechanistic analyses addressing the central and peripheral actionstargets of bpa at puberty remain incomplete and conflictive we aimed to provide a comprehensive characterization of the impact of early bpa exposures especially at low reallife doses on the postnatal development of hypothalamic kiss1nkb neurons and its functional consequences on female pubertal maturation pregnant cd1 female mice were orally administered bpa at 5 10 or 40μgkg body weight bwd from gestational day 11 to postnatal day 8 pnd8 vaginal opening as an external marker of puberty onset was monitored daily from pnd19 to pnd30 in the female offspring blood and brain samples were collected at pnd12 15 18 21 and 30 for measuring circulating levels of gonadotropins and analyzing the hypothalamic expression of kiss1kisspeptin and nkb perinatal exposure to bpa in a range of doses largely below the no observed adverse effect level noael 5mgkg bwd according to the fda was associated with pubertal differences in the female progeny compared with those exposed to vehicle alone with an earlier age of vaginal opening but consistently lower levels of circulating luteinizing hormone mice treated with bpa exhibited a persistent but divergent impairment of kiss1 neuronal maturation with more kisspeptin cells in the rostral rp3v hypothalamus but consistently fewer kisspeptin neurons in the arcuate nucleus arc detailed quantitative analysis of the arc population essential for pubertal development revealed that mice treated with bpa had persistently lower kiss1 expression during prepubertal maturation which was associated with lower tac2 encoding nkb levels even at low doses 5μgkg bwd in the range of the tolerable daily intake tdi recently updated by the european food safety authority our data attest to the consistent but divergent effects of gestational exposures to low concentrations of bpa via the oral route on phenotypic and neuroendocrine markers of puberty in female mice with an unambiguous impact on the developmental maturation not only of kiss1 but also of the nkb system both essential regulators of puberty onset httpsdoiorg101289ehp5570,"associated(ACTIVITY), associated(ACTIVITY)"
31615514,prenatal maternal and childhood bisphenol a exposure and brain structure and behavior of young children,bisphenol a bpa is commonly used in the manufacture of plastics and epoxy resins in north america over 90 of the population has detectable levels of urinary bpa human epidemiological studies have reported adverse behavioral outcomes with bpa exposure in children however corresponding effects on childrens brain structure have not yet been investigated the current study examined the association between prenatal maternal and childhood bpa exposure and white matter microstructure in children aged 2 to 5 years and investigated whether brain structure mediated the association between bpa exposure and child behavior participants were 98 motherchild pairs who were recruited between january 2009 and december 2012 total bpa concentrations in spot urine samples obtained from mothers in the second trimester of pregnancy and from children at 34 years of age were analyzed children participated in a diffusion magnetic resonance imaging mri scan at age 25 years 37  08 years associations between prenatal maternal and childhood bpa and childrens fractional anisotropy and mean diffusivity of 10 isolated white matter tracts were investigated controlling for urinary creatinine child sex and age at the time of mri posthoc analyses examined if alterations in white matter mediated the relationship of bpa and childrens scores on the child behavior checklist cbcl prenatal maternal urinary bpa was significantly associated with child mean diffusivity in the splenium and right inferior longitudinal fasciculus splenium diffusivity mediated the relationship between maternal prenatal bpa levels and childrens internalizing behavior indirect effect β  0213 ci 00167 0564 no significant associations were found between childhood bpa and white matter microstructure this study provides preliminary evidence for the neural correlates of bpa exposure in humans our findings suggest that prenatal maternal exposure to bpa may lead to alterations in white matter microstructure in preschool aged children and that such alterations mediate the relationship between early life exposure to bpa and internalizing problems,bisphenol a bpa is commonly used in the manufacture of plastics and epoxy resins in north america over 90 of the population has detectable levels of urinary bpa human epidemiological studies have reported adverse behavioral outcomes with bpa exposure in children however corresponding effects on childrens brain structure have not yet been investigated the current study examined the association between prenatal maternal and childhood bpa exposure and white matter microstructure in children aged 2 to 5 years and investigated whether brain structure mediated the association between bpa exposure and child behavior participants were 98 motherchild pairs who were recruited between january 2009 and december 2012 total bpa concentrations in spot urine samples obtained from mothers in the second trimester of pregnancy and from children at 34 years of age were analyzed children participated in a diffusion magnetic resonance imaging mri scan at age 25 years 37  08 years associations between prenatal maternal and childhood bpa and childrens fractional anisotropy and mean diffusivity of 10 isolated white matter tracts were investigated controlling for urinary creatinine child sex and age at the time of mri posthoc analyses examined if alterations in white matter mediated the relationship of bpa and childrens scores on the child behavior checklist cbcl prenatal maternal urinary bpa was significantly associated with child mean diffusivity in the splenium and right inferior longitudinal fasciculus splenium diffusivity mediated the relationship between maternal prenatal bpa levels and childrens internalizing behavior indirect effect β  0213 ci 00167 0564 no significant associations were found between childhood bpa and white matter microstructure this study provides preliminary evidence for the neural correlates of bpa exposure in humans our findings suggest that prenatal maternal exposure to bpa may lead to alterations in white matter microstructure in preschool aged children and that such alterations mediate the relationship between early life exposure to bpa and internalizing problems,"mediated(ACTIVITY), mediated(ACTIVITY), associated(ACTIVITY), mediated(ACTIVITY), mediate(ACTIVITY)"
31596610,transfer and metabolism of the xenoestrogen zearalenone in human perfused placenta,pregnancy is a sensitive condition during which adverse environmental exposures should be monitored thoroughly and minimized whenever possible in particular the hormone balance during gestation is delicate and disturbance may cause acute or chronic longterm health effects a potential endocrine disruption may be provoked by in utero exposure to xenoestrogens mimicking endogenous estrogens the mycoestrogen zearalenone zen a toxic fungal secondary metabolite and mycotoxin found frequently in food and feed constitutes a prominent example we performed a comprehensive assessment of the transfer as well as phase i and phase ii metabolism of zen at the human placental barrier human placentas were perfused with 1μm 318μgl zen for 6 h samples from the maternal and fetal compartment placental tissue and fetal plasma were analyzed by a highly sensitive uhplcmsms assay to detect zen as well as nine key metabolites αzearalenol βzearalenol zearalanone αzearalanol βzearalanol zen14glucuronide αzearalenol14glucuronide βzearalenol14glucuronide zen14sulfate the model revealed a fast maternofetal transfer of zen across the human placental barrier we also unraveled phase i and phase ii metabolism of the parent toxin zen into the approximately 70times more estrogenic αzearalenol and the less active zen14sulfate conjugate which are effectively released into the maternal and fetal circulation in considerable amounts our findings suggest that exposure to zen such as through consumption of zencontaminated cerealbased products during pregnancy may result in in utero exposure of the fetus not only to zen but also some of its highly estrogenically active metabolites in the light of the known affinity of zen and potentially cooccurring xenoestrogens to the estrogen receptor and our results demonstrating placental transfer of zen and its metabolites in an ex vivo model we recommend further research and more comprehensive assessment of gestational exposures in women httpsdoiorg101289ehp4860,pregnancy is a sensitive condition during which adverse environmental exposures should be monitored thoroughly and minimized whenever possible in particular the hormone balance during gestation is delicate and disturbance may cause acute or chronic longterm health effects a potential endocrine disruption may be provoked by in utero exposure to xenoestrogens mimicking endogenous estrogens the mycoestrogen zearalenone zen a toxic fungal secondary metabolite and mycotoxin found frequently in food and feed constitutes a prominent example we performed a comprehensive assessment of the transfer as well as phase i and phase ii metabolism of zen at the human placental barrier human placentas were perfused with 1μm 318μgl zen for 6 h samples from the maternal and fetal compartment placental tissue and fetal plasma were analyzed by a highly sensitive uhplcmsms assay to detect zen as well as nine key metabolites αzearalenol βzearalenol zearalanone αzearalanol βzearalanol zen14glucuronide αzearalenol14glucuronide βzearalenol14glucuronide zen14sulfate the model revealed a fast maternofetal transfer of zen across the human placental barrier we also unraveled phase i and phase ii metabolism of the parent toxin zen into the approximately 70times more estrogenic αzearalenol and the less active zen14sulfate conjugate which are effectively released into the maternal and fetal circulation in considerable amounts our findings suggest that exposure to zen such as through consumption of zencontaminated cerealbased products during pregnancy may result in in utero exposure of the fetus not only to zen but also some of its highly estrogenically active metabolites in the light of the known affinity of zen and potentially cooccurring xenoestrogens to the estrogen receptor and our results demonstrating placental transfer of zen and its metabolites in an ex vivo model we recommend further research and more comprehensive assessment of gestational exposures in women httpsdoiorg101289ehp4860,"balance(ACTIVITY), affinity(ACTIVITY)"
31596606,bisphenol af promotes inflammation in human white adipocytes,endocrinedisrupting chemicals interact with transcription factors essential for adipocyte differentiation exposure to endocrinedisrupting chemicals corresponds with elevated risks of obesity but the effects of these compounds on human cells remain largely undefined widespread use of bisphenol af bpaf as a bisphenol a bpa alternative in the plastics industry presents unknown health risks to this end we discovered that bpaf interferes with the metabolic function of mature human adipocytes although 4day exposures to bpaf accelerated adipocyte differentiation we observed no effect on mature fat cell marker genes additional gene and protein expression analysis showed that bpaf treatment during human adipocyte differentiation failed to suppress the proinflammatory transcription factor stat1 microscopy and respirometry experiments demonstrated that bpaf impaired mitochondrial function and structure to test the hypothesis that bpaf fosters vulnerabilities to stat1 activation we treated mature adipocytes previously exposed to bpaf with interferonγ ifnγ bpaf increased ifnγ activation of stat1 and exposed mitochondrial vulnerabilities that disrupt adipocyte lipid and carbohydrate metabolism collectively our data establish that bpaf activates inflammatory signaling pathways that degrade metabolic activity in human adipocytes these findings suggest how the bpa alternative bpaf contributes to metabolic changes that correspond with obesity,endocrinedisrupting chemicals interact with transcription factors essential for adipocyte differentiation exposure to endocrinedisrupting chemicals corresponds with elevated risks of obesity but the effects of these compounds on human cells remain largely undefined widespread use of bisphenol af bpaf as a bisphenol a bpa alternative in the plastics industry presents unknown health risks to this end we discovered that bpaf interferes with the metabolic function of mature human adipocytes although 4day exposures to bpaf accelerated adipocyte differentiation we observed no effect on mature fat cell marker genes additional gene and protein expression analysis showed that bpaf treatment during human adipocyte differentiation failed to suppress the proinflammatory transcription factor stat1 microscopy and respirometry experiments demonstrated that bpaf impaired mitochondrial function and structure to test the hypothesis that bpaf fosters vulnerabilities to stat1 activation we treated mature adipocytes previously exposed to bpaf with interferonγ ifnγ bpaf increased ifnγ activation of stat1 and exposed mitochondrial vulnerabilities that disrupt adipocyte lipid and carbohydrate metabolism collectively our data establish that bpaf activates inflammatory signaling pathways that degrade metabolic activity in human adipocytes these findings suggest how the bpa alternative bpaf contributes to metabolic changes that correspond with obesity,"interact(ACTIVITY), elevated(ACTIVITY), suppress(ACTIVITY), increased(ACTIVITY), disrupt(ACTIVITY)"
31573832,associations of trimesterspecific exposure to bisphenols with size at birth a chinese prenatal cohort study,bisphenol a bpa is an endocrine disruptor that affects fetal growth in experimental studies bisphenol f bpf and bisphenol s bps which have been substituted for bpa in some consumer products have also shown endocrinedisrupting effects in experimental models however the effects of bpf and bps on fetal growth in humans are unknown our goal was to investigate trimesterspecific associations of urinary concentrations of bpa bpf and bps with size at birth the present study included 845 pregnant women from wuhan china 20132015 who provided one urine sample in each of the first second and third trimesters linear regressions with generalized estimating equations were applied to estimate trimesterspecific associations of urinary bisphenol concentrations with birth weight birth length and ponderal index linear mixedeffects models were used to identify potential critical windows of susceptibility to bisphenols by comparing the exposure patterns of newborns in the 10th percentile of each birth anthropometric measurement to that of those in the 90th percentile medians 25th75th percentiles of urinary concentrations of bpa bpf and bps were 140 019385 065 034139 and 038 013111 ngml respectively urinary bpa concentrations in different trimesters were inversely but not significantly associated with birth weight and ponderal index urinary concentrations of bpf and bps during some trimesters were associated with significantly lower birth weight birth length or ponderal index with significant trend pvalues ptrend005 across quartiles of bpf and bps concentrations the observed associations were unchanged after additionally adjusting for other bisphenols in addition newborns in the 10th percentile of each birth anthropometry measure had higher bpf and bps exposures during pregnancy than newborns in the 90th percentile of each outcome prenatal exposure to bpf and bps was inversely associated with size at birth in this cohort replication in other populations is needed httpsdoiorg101289ehp4664,bisphenol a bpa is an endocrine disruptor that affects fetal growth in experimental studies bisphenol f bpf and bisphenol s bps which have been substituted for bpa in some consumer products have also shown endocrinedisrupting effects in experimental models however the effects of bpf and bps on fetal growth in humans are unknown our goal was to investigate trimesterspecific associations of urinary concentrations of bpa bpf and bps with size at birth the present study included 845 pregnant women from wuhan china 20132015 who provided one urine sample in each of the first second and third trimesters linear regressions with generalized estimating equations were applied to estimate trimesterspecific associations of urinary bisphenol concentrations with birth weight birth length and ponderal index linear mixedeffects models were used to identify potential critical windows of susceptibility to bisphenols by comparing the exposure patterns of newborns in the 10th percentile of each birth anthropometric measurement to that of those in the 90th percentile medians 25th75th percentiles of urinary concentrations of bpa bpf and bps were 140 019385 065 034139 and 038 013111 ngml respectively urinary bpa concentrations in different trimesters were inversely but not significantly associated with birth weight and ponderal index urinary concentrations of bpf and bps during some trimesters were associated with significantly lower birth weight birth length or ponderal index with significant trend pvalues ptrend005 across quartiles of bpf and bps concentrations the observed associations were unchanged after additionally adjusting for other bisphenols in addition newborns in the 10th percentile of each birth anthropometry measure had higher bpf and bps exposures during pregnancy than newborns in the 90th percentile of each outcome prenatal exposure to bpf and bps was inversely associated with size at birth in this cohort replication in other populations is needed httpsdoiorg101289ehp4664,"associated(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY)"
31572187,estrogen receptorrelated dna and histone methylation may be involved in the transgenerational disruption in spermatogenesis by selective toxic chemicals,air pollution is a global threat to human health especially spermatogenesis animal and epidemiological studies suggest that epigenetic factors can transmit the pathologies transgenerationally paternal epigenetic effects can greatly impact offspring health in this study and together with our previous report we found that h2s donor na2s andor nh3 donor nh4cl diminished mouse fertility decreased spermatozoa concentration and motility and impaired spermatogenesis in three consequent generations f0 f1 and f2 in the current study we found that dna methylation histone methylation and estrogen receptor alpha erα were impaired by nh4cl andor na2s in f0 f1 and f2 mouse testes moreover nh4cl andor na2s might act as environmental endocrinedisrupting chemicals to decrease estrogen and testosterone in mouse blood it has been reported that erα signaling is intertwined together with dna methylation and histone methylation which plays very important roles in spermatogenesis these data together indicate that the transgenerational disruption in spermatogenesis by nh4cl andor na2s may be through erαrelated dna methylation and histone methylation pathways therefore we strongly recommend that greater attention should be paid to nh3 andor h2s contamination to minimize their impact on human health especially spermatogenesis,air pollution is a global threat to human health especially spermatogenesis animal and epidemiological studies suggest that epigenetic factors can transmit the pathologies transgenerationally paternal epigenetic effects can greatly impact offspring health in this study and together with our previous report we found that h2s donor na2s andor nh3 donor nh4cl diminished mouse fertility decreased spermatozoa concentration and motility and impaired spermatogenesis in three consequent generations f0 f1 and f2 in the current study we found that dna methylation histone methylation and estrogen receptor alpha erα were impaired by nh4cl andor na2s in f0 f1 and f2 mouse testes moreover nh4cl andor na2s might act as environmental endocrinedisrupting chemicals to decrease estrogen and testosterone in mouse blood it has been reported that erα signaling is intertwined together with dna methylation and histone methylation which plays very important roles in spermatogenesis these data together indicate that the transgenerational disruption in spermatogenesis by nh4cl andor na2s may be through erαrelated dna methylation and histone methylation pathways therefore we strongly recommend that greater attention should be paid to nh3 andor h2s contamination to minimize their impact on human health especially spermatogenesis,"diminished(ACTIVITY), decreased(ACTIVITY)"
31555614,effects of di2ethylhexylphthalate on bone metabolism in ovariectomized mice,the molecular pathways of how endocrine disruptors affect bone mineral density bmd and bone remodeling are still unclear the purpose of this experimental study is to determine the effects of di2ethylhexylphthalate dehp on bone metabolism in ovariectomized mice twentysixmonthold female cd1 mice were divided into 4 groups control lowdose dehp highdose dehp and estrogen groups n5 each group all mice were subjected to ovariectomy for the induction of artificial menopause and then exposed to corn oil dehp and estrogen for 2 months microcomputed tomography microct of the bone and analysis of blood samples for bone markers were performed to observe the changes in bone metabolism osteocalcin level was decreased in the control lowdose and highdose dehp group the reduction width was greater in the highdose dehp group 0219 ngml than control group 0077 ngml p005 cterminal telopeptide of type i collagen level was increased in the control lowdose and highdose dehp group the increase range of lowdose dehp group 0329 ngml showed greater than control group 0093 ngml p005 microct analysis revealed that the bmd was significantly lower in the highdose dehp group 198102 gcm3 than control group 272102 gcm3 p005 the structure model index was significantly higher in the highdose dehp group 2737 than lowdose dehp group 2648 and estrogen group 263 p005 it means the progression of osteoporosis in the highdose dehp group these results confirm the negative effects of dehp on bone health in ovariectomized mice further continuous studies on genetic pathways and other endocrine disruptors will be necessary to validate these findings,the molecular pathways of how endocrine disruptors affect bone mineral density bmd and bone remodeling are still unclear the purpose of this experimental study is to determine the effects of di2ethylhexylphthalate dehp on bone metabolism in ovariectomized mice twentysixmonthold female cd1 mice were divided into 4 groups control lowdose dehp highdose dehp and estrogen groups n5 each group all mice were subjected to ovariectomy for the induction of artificial menopause and then exposed to corn oil dehp and estrogen for 2 months microcomputed tomography microct of the bone and analysis of blood samples for bone markers were performed to observe the changes in bone metabolism osteocalcin level was decreased in the control lowdose and highdose dehp group the reduction width was greater in the highdose dehp group 0219 ngml than control group 0077 ngml p005 cterminal telopeptide of type i collagen level was increased in the control lowdose and highdose dehp group the increase range of lowdose dehp group 0329 ngml showed greater than control group 0093 ngml p005 microct analysis revealed that the bmd was significantly lower in the highdose dehp group 198102 gcm3 than control group 272102 gcm3 p005 the structure model index was significantly higher in the highdose dehp group 2737 than lowdose dehp group 2648 and estrogen group 263 p005 it means the progression of osteoporosis in the highdose dehp group these results confirm the negative effects of dehp on bone health in ovariectomized mice further continuous studies on genetic pathways and other endocrine disruptors will be necessary to validate these findings,"affect(ACTIVITY), decreased(ACTIVITY), increased(ACTIVITY)"
31551308,urinary bisphenol a and serum lipids a metaanalysis of six nhanes examination cycles 20032014,mounting evidence from both experimental and epidemiological studies suggest that exposure to the endocrine disruptor bisphenol a bpa has a role in metabolic disorders the aim of the present study was to assess whether urinary bpa concentrations were associated with dyslipidaemia in children 17 years old and adults 18 years old by performing a metaanalysis of data from six cycles 20032014 in the national health and nutrition examination survey nhanes we conducted a metaanalysis of data from 4604 children and 10 989 adult participants who were part of a substudy of urinary bpa measurements from six nhanes cycles from 2003 to 2014 linear regression models conducted in each cycle were used to perform a metaanalysis to investigate associations between urinary bpa and serum levels of lowdensity lipoprotein cholesterol ldlc highdensity lipoprotein cholesterol hdlc total cholesterol tc triglycerides tg and apolipoprotein b apob the metaanalysis did not disclose any significant associations between urinary bpa concentrations and ldlc hdlc tc tg and apob in children in adults the metaanalysis revealed negative regression coefficients for all five lipid variables however no associations were significant following bonferroni correction for multiple tests in the present metaanalysis of crosssectional data from nhanes no associations were found between urinary bpa and the five different lipid variables when investigated in both children and adults however considering the crosssectional nature of the present study results should be clarified in carefully designed longitudinal cohort studies with repeated bpa measurements,mounting evidence from both experimental and epidemiological studies suggest that exposure to the endocrine disruptor bisphenol a bpa has a role in metabolic disorders the aim of the present study was to assess whether urinary bpa concentrations were associated with dyslipidaemia in children 17 years old and adults 18 years old by performing a metaanalysis of data from six cycles 20032014 in the national health and nutrition examination survey nhanes we conducted a metaanalysis of data from 4604 children and 10 989 adult participants who were part of a substudy of urinary bpa measurements from six nhanes cycles from 2003 to 2014 linear regression models conducted in each cycle were used to perform a metaanalysis to investigate associations between urinary bpa and serum levels of lowdensity lipoprotein cholesterol ldlc highdensity lipoprotein cholesterol hdlc total cholesterol tc triglycerides tg and apolipoprotein b apob the metaanalysis did not disclose any significant associations between urinary bpa concentrations and ldlc hdlc tc tg and apob in children in adults the metaanalysis revealed negative regression coefficients for all five lipid variables however no associations were significant following bonferroni correction for multiple tests in the present metaanalysis of crosssectional data from nhanes no associations were found between urinary bpa and the five different lipid variables when investigated in both children and adults however considering the crosssectional nature of the present study results should be clarified in carefully designed longitudinal cohort studies with repeated bpa measurements,associated(ACTIVITY)
31501865,gestational exposure to bisphenol a and bisphenol s leads to fetal skeletal muscle hypertrophy independent of sex,gestational exposure to bisphenol a bpa can lead to offspring insulin resistance however despite the role that the skeletal muscle plays in glucose homeostasis it remains unknown whether gestational exposure to bpa or its analog bisphenol s bps impairs skeletal muscle development we hypothesized that gestational exposure to bpa or bps will impair fetal muscle development and lead to musclespecific insulin resistance to test this pregnant sheep n  78group were exposed to bpa or bps from gestational day gd 30 to 100 at gd120 fetal skeletal muscle was harvested to evaluate fiber size fiber type and gene and protein expression related to myogenesis fiber size fiber type and inflammation fetal primary myoblasts were isolated to evaluate proliferation and differentiation in fetal skeletal muscle myofibers were larger in bpa and bps groups in both females and males bpa females had higher myh1 reflective of typeiix fast glycolytic fibers whereas bps females had higher myh2 and myh7 and higher myogenic regulatory factors myf5 myog myod and mrf4 mrna expression no differences were observed in males myoblast proliferation was not altered in gestationally bpa or bpsexposed myoblasts but upon differentiation area and diameter of myotubes were larger independent of sex females had larger myofibers and myotubes than males in all treatment groups in conclusion gestational exposure to bpa or bps does not result in insulin resistance in fetal myoblasts but leads to fetal fiber hypertrophy in skeletal muscle independent of sex and alters fiber type distribution in a sexspecific manner,gestational exposure to bisphenol a bpa can lead to offspring insulin resistance however despite the role that the skeletal muscle plays in glucose homeostasis it remains unknown whether gestational exposure to bpa or its analog bisphenol s bps impairs skeletal muscle development we hypothesized that gestational exposure to bpa or bps will impair fetal muscle development and lead to musclespecific insulin resistance to test this pregnant sheep n  78group were exposed to bpa or bps from gestational day gd 30 to 100 at gd120 fetal skeletal muscle was harvested to evaluate fiber size fiber type and gene and protein expression related to myogenesis fiber size fiber type and inflammation fetal primary myoblasts were isolated to evaluate proliferation and differentiation in fetal skeletal muscle myofibers were larger in bpa and bps groups in both females and males bpa females had higher myh1 reflective of typeiix fast glycolytic fibers whereas bps females had higher myh2 and myh7 and higher myogenic regulatory factors myf5 myog myod and mrf4 mrna expression no differences were observed in males myoblast proliferation was not altered in gestationally bpa or bpsexposed myoblasts but upon differentiation area and diameter of myotubes were larger independent of sex females had larger myofibers and myotubes than males in all treatment groups in conclusion gestational exposure to bpa or bps does not result in insulin resistance in fetal myoblasts but leads to fetal fiber hypertrophy in skeletal muscle independent of sex and alters fiber type distribution in a sexspecific manner,altered(ACTIVITY)
31500194,bisphenol a analogues in food and their hormonal and obesogenic effects a review,bisphenol a bpa is the most wellknown compound from the bisphenol family as bpa has recently come under pressure it is being replaced by compounds very similar in structure but data on the occurrence of these bpa analogues in food and human matrices are limited the main objective of this work was to investigate human exposure to bpa and analogues and the associated health effects we performed a literature review of the available research made in humans in in vivo and in vitro tests the findings support the idea that exposure to bpa analogues may have an impact on human health especially in terms of obesity and other adverse health effects in children,bisphenol a bpa is the most wellknown compound from the bisphenol family as bpa has recently come under pressure it is being replaced by compounds very similar in structure but data on the occurrence of these bpa analogues in food and human matrices are limited the main objective of this work was to investigate human exposure to bpa and analogues and the associated health effects we performed a literature review of the available research made in humans in in vivo and in vitro tests the findings support the idea that exposure to bpa analogues may have an impact on human health especially in terms of obesity and other adverse health effects in children,associated(ACTIVITY)
